tweet,class2,rand
attentat à ahvaz : l’iran accuse des séparatistes djihadistes « soutenus par des pays arabes »… @url,1,0.003092901
devido aos amigo me enchendo se alguém quiser saber eu confirmo na dm,2,0.003153053
@user não sou puto ok kkkk,2,0.003207188
20 real pra passar a sexta,2,0.003248847
"https://t.co/2bs6oD330q

Ele até que pediu pra não botarmos as fotos, mas a verdade não pode ser reprimida.

Nas imagens, @user e ó ex-coronel da PM Chavarry Duarte, acusado de estupro a vulnerável neste domingo. 

#EleNão

As ameaças dele, de nada valem. https://t.co/gd2J98vrKG",2,0.003471874
"Amante braba p mim é aquela que sustenta a bronca de comer marido alheio, que quando a fiel descobre e vai na direção, bota a cara mesmo sem medo e fala : ""Estou com seu marido mesmo e vê o que você pode fazer"". Não essas q é frouxa, nega até a morte, chora e ainda chama família!",1,0.003541619
"@user novasss, fritamos igual uns fdp ekksksksk",1,0.003576343
@user @user não é o mesmo universo né então vá que,2,0.003645781
@user @user @user teu cu petista sem cérebro,1,0.003666011
"cagava de medo do que as pessoas pensavam sobre mim, ficava estranhassa quando sabia de algo, até aprender que a opinião dos outros só vai me entristecer se eu deixar, eu sou maravilhosa e pau no cu de quem não concorda https://t.co/8PgB28OI2W",1,0.003721148
é disso que eu morro de raiva de mim mesmo,2,0.003845992
depuis hier à cause de ce mongol de butler j’ai le keep energy dans la tête. c’est horrible,1,0.003989672
meu deus eu vou chorar eu quero mto comer um doce um brownie sei lá me ajuda deus,2,0.004008845
"@user @user ih caralho, perdeu o juízo",2,0.004020359
mano brasil caralho tava ganhando de 2 set a 0 e deixar  empatar,2,0.00402456
"rt @user to fora dessas mandadas, nem esquento a cabeça, sou psico e na favela não falta buceta ..🎧🎵",1,0.004082671
@user olavo de carvalho diverge com relação a seu..! que papo desgraçado sobre cu... to fora.,1,0.00409605
"@user O caralho quero fibra ótica no meu bairro o caralho só pq uns bandido fica fumando maconha na praça e passa mlk de moto com um rifle na mão q SES n vai botar sapoha filhos pulta quero fibra ótica o caralho @user
400 de ping e FODA!",1,0.004137339
@user bah pour lui c’est un art le corps d’une femme africaine avec le baya.. j’ai rien vu de mal dans son tweet… @url,1,0.004140929
"Ihh é de salvador uma disgraça dessa ainda, nem ela ta aq pra eu dar um botadao, tem q avisar pra ele q n tem anti-antifa, tem antifascista e fascista.(apesar de achar ridículo quem usa esse nome grotesco pra qualquer merda q bolsonaro faz)",1,0.004196181
@user @user @user les bobo attardé sont justement ceux qui disent que bigflo et oli sont les meilleur ra… @url,1,0.004199637
"isso porra, vamo",2,0.004202786
"sem ânimo p nada, vou lavar a louça e dormir dps acordo só amanhã.",2,0.004212727
para de babar ovo p bonoro q ta feio isso daí ja mana,2,0.004370345
"que mulher brasil,mulher gostosa do cacete! ❤️❤️",2,0.004460515
les marocains ils debate avec un mongol qui croit que lportugal c en amérique du nord jsp cmt vs pouvez tenir jlaur… @url,2,0.004553408
"@user @user @user @user @user @user @user @user Onde será?! Hahahaha 
#MPN #MarinaRuyBarbosa #NowUnited",2,0.004573617
rt @user elle fait le point.nregarde ou elle en estns'attarde sur les virgulesnouvre des parenthesesnle trema de naeve se chang,1,0.004669334
rt @user bom sábado pra geral e vai toma no cu palmeiras.,1,0.004869101
"@user foi o que eu pensei, cê acredita? Tô fora desse aí, se eu for ficar com o menino e não puder no mínimo meter o dedo no cu dele eu nem fico",1,0.004918456
ching-chong mes followers d'amours aujourd'hui j'apprends parler le chinois chingchongchang (tot),1,0.004943358
cheguei p gringo e falei i lovu quebrada,2,0.004947361
to saindo de casa de cabelo molhado ai minha mãe disse q se eu n secar ele dps ela vai enfiar o remédio de gripe igual supositório no meu cu kkkkkkklkkkkkkkkl,1,0.004982636
"rt @user se pudesse dar um recado pra todas as pessoas do mundo, qual seria? — cuidem do nosso planeta porra https://t.co/qwp3dl…",2,0.004991514
"grt mais bonita do educandus no turno da tarde, fala uma a铆 鈥� sla porra https://t.co/b9ktee39sv",2,0.004993487
"fico muito feliz pq as armys da minha escola no período da manhã são sensatas, as da tarde são chatas pra caralho",1,0.005003258
"sla, achei engraçado",2,0.005022226
"@user sim manoooo, fé pqp",1,0.005022239
"rt @user queria fazer aqueles lomotif mostrando minha evolução de criança feia pra adolescente gata, mas n dá é ao contrário.",2,0.00503176
"@user belém

ou 

vancouver",2,0.005069033
vou inscrever um squad brabo nessa pro league,2,0.005121119
rt @user hoje o dia tá puro estresse pqp,2,0.005149793
meu amigo saiu nos stories do brega bregoso mexendo o cu e eu tô gritandoooooo,1,0.005155733
"acabei de ver uma matéria no jornal dizendo que agora as mulheres na arábia saudita têm o direito de viajarem sozinhas (sem o marido), trabalharem sem precisar da autorização do homem, etc... fiquei tão feliz e tão triste ao menos tempo que até chorei",2,0.005178702
@user ????????? mongol,1,0.005289421
essa ama uma rola,1,0.005310425
"estudante de escola publica se voce nao esta estudando para o pas entao VA AGORAAAAA SEU ARROMBADOOOOOOO BORA OCUPAR AQUELE CARAIO

estudante do marista sei la fodase vai tomar no cu",1,0.005316193
@user kkkkkkkkkkkk teu cu,1,0.005350698
zero auto estima sem minhas unhas grande puta que pariu,1,0.005353269
"[2/8 00:13] Chi: Oi
[2/8 00:30] Oi
[2/8 00:30]  Amor meu
[2/8 00:30] Chi: Te adoro鉂�
[2/8 00:30]  Pq isso ?
[2/8 00:31] Do nada
[2/8 00:31] Chi: Af
[2/8 00:31] Chi: Desculpa a铆 ent茫o
[2/8 00:31] N茫o, eu gostei馃槏

Quando a pessoa 茅 desconfiada kkk",2,0.005393824
pelo amor de deus onde é normal perder a virgindade com 14 anos? na maioria dos casos a pessoa não tem conhecimento nem sobre o seu próprio corpo pqp,1,0.0053956
"♪ acho uma pessoa muito simpática e fofa, muito bonita também. espero que se alimente bem.",2,0.005492526
"minha mãe terminou bates motel q tem 5 temporadas em duas semanas, pqp",2,0.005514406
@user un village quoi .. gros mongol,1,0.005617521
esperar meu marido chegar pra gente ir fazer compra,2,0.00564413
"hoje ela sobe pra treta 
hoje ela me dá feliz 🤤",1,0.005678754
passa vis茫o bb praonde vc quer ir hoje falai que nois vai? 鈥� 馃 https://t.co/nnzkybafm3,2,0.005702976
saudade dos meus amigos porra,1,0.005839337
foi ridícula a atitude mas eu jamais vou bater palma pra violência,2,0.005885476
o que rola hoje nesse sabadao?,2,0.005949792
"@user vá pedir à bênção dos seus camaradas, padre!!",2,0.005972128
"voc锚 diz que desistiu, mas incontrolavelmente continua tentando..",2,0.006060911
"fiquei mt confisa quando escolheram o joshua pq porra ele n eh tetudo 

ai eu li certo",1,0.006113494
les pro migrants bien pensants offrent au patronat un lumpen prolétariat sur un plateau . honte à eux.,1,0.006127202
eu choro vendo o quanto a arquitetura é importante pra dignificar a vida das pessoas eu amo demais a minha profissão pqp,1,0.006162164
sou mt boiola 😞😞😞😞😞😞,1,0.006173342
@user @user @user je m'attarde cependant quelque peu : et si vous laissiez les gens se faire leur pro… @url,2,0.006175766
"@user o nazismo chegou ao brasil, se povo pobre não fizer uma revolução e tirar esses vermes na porrada o país vai acabar",1,0.0062822
@user pour t'accompagner dans ta lutte voici une autre turbot gauchiste.,1,0.006304862
@user @user mdr sa ces les excuses prend le train et viens j’ai le temps m’attarde avec un minus de 16… @url,2,0.00642362
"rt @user nyaaan, obrigado eu vou amar conhecer. https://t.co/nv8nm0578x",2,0.006454448
yt music atrasado pqp só adicionaram hj https://t.co/vmksh8djno,2,0.006501592
@user deve tá achando que cu prende alguma coisa,1,0.006527875
@user @user pra mim pode tirar o melão e colocar o baiano,2,0.006580583
"Por mais promessas assim, ganha o Flamengo e o mundo se torna um lugar melhor. Com certeza essas crian莽as nunca ir茫o esquecer esse dia. 
@user  vc foi t茫o gigante quanto o time que voc锚 torce",2,0.006634484
"pagando de amigo mas queria mesmo é ser talarico, abre esse olho, burro",1,0.006676774
a tartaruga está com algumas parte doendo😆😆 parabéns ministro @user,2,0.006709067
@user vontade de ter um pau só pra fazer isso,1,0.006864579
@user e tão a dizer q o bruno vem depois de domingo,2,0.007021582
un petit con comme ça qui se prend pour un grand joueur il fait honte aux renois. pff @url,1,0.007134915
@user kkkkkskmskskskskkaksksk vai te fuder seu galalau,1,0.007213431
@user @user oui enfin l'impérialisme chinois ça se résume à: cool l'afrique à merde les mongols nous déf… @url,1,0.007267713
quand je vois que la cagnotte pour aider les enfants réfugiés qui dorment deh…,2,0.007293003
rt @user fdp gostosa do crl pqp https://t.co/4vct4kyurv,1,0.007373527
amigo você é perfeito ok porra,1,0.007449502
"Tarde delícia, fazendo companhia a um cliente muito carinhoso que pediu para ir de meias 7/8 dessa vez. Adoro quando tem fetiches e fazem pedidos especiais de roupas! 👅💖👄 https://t.co/xZRKgAmKh4",1,0.007487764
"""tenho fobia social porque não gosto de conversar com os humanos. 😚😚😚😍😍😘😎""

ah, vai tomar no cu.",1,0.0075228
contei uma parada pra mayara hoje que a bicha ficou nervosa viu,2,0.007675764
@user falsa teu cu viada,1,0.007875471
toutes façons les arabes qui parlent pas arabe c’est pas des arabes,1,0.007903646
"toma no cu porrraaa, vamo crl, república dominicana é meu piru",1,0.0079218
pqp esse mundo tem que acabar mesmo namoral ser humano é um bicho vai se fuder,1,0.007945174
"é cada analise imbecil q me aparece, a onu deve estar muito desocupada...",1,0.007990879
@user operação marreco?,2,0.008011252
wallah wallah axel il est trop marrant ce mongol il régale,1,0.008040451
"cantando empire state of mind igual uma retardada. prazer, eu",2,0.008057125
hoje eu estou totalmente uma criança encapetada inquieta,2,0.008189917
"Cada dia que passa, se mostra ser mais fascista.
""Diretor do Inpe ser谩 exonerado ap贸s cr铆ticas de Bolsonaro a dados do desmatamento""  https://t.co/8Udxj5QP3v",2,0.008206025
"Lea tentou salvar o Pop quando ele mais precisou, e infelizmente flopou. On My Way é um puta hino que merece ser enaltecido, então DEEM STREAM PRA ESSA MARAVILHA!
#StreamOnMyWay
https://t.co/WAP6qpzeNQ #NowPlaying",2,0.008269198
l'attardé qui marque,1,0.008294099
rt @user qnd eu era mais nova ngm deixava eu jogar pq eu era mt feia kkkkkkkkkkkkkk https://t.co/hzagjmbkkl,2,0.00834372
les arabes cassent les couilles putin. ils aiment pas les noirs mais ils viennent s’asseoir à côté de moi dans le… @url,1,0.008368398
rt @user buceta rosinha: quem aí curte ? 😈 https://t.co/pe7e8dduwx,1,0.008434468
@user obrigado amigo,2,0.008453383
@user sale fils de juif,1,0.008519283
sério da vontade de chorar e mandar tomar no cu,1,0.008620192
tempinho chato do crlh pqp,1,0.008641104
ae caralhooooooooo tóquio porra,2,0.008675505
"@user filhaaa da puta
é corinthiano",1,0.00868506
bts quand ils vont arriver le 20 et voir que y’a que des renois et rebeux vont voir flou,1,0.008697317
"caralho pra me estressar, tnc",2,0.00883642
**só prq brotei 😣,2,0.00894126
"Odeio quem usa o Tinder como publicidade pro Instagram deles, tomar no cu, dá o match, fala mal do chat do Tinder então pede pra seguir no Insta e nunca mais chama, enfia o follow no cu meu anjo https://t.co/rB6T1Nqy0L",1,0.008975056
@user caralho q deusa,2,0.009042294
"Se essa boca não beijasse tão bem
Se esse abraço não fosse tão massa
Se quer saber se eu quero outro alguém
Nem de graça, nem de graça PORRA ENTENDE ISSO CARAI",1,0.009186459
@user com o perdão da palavra pqp. inacreditável existir ainda quem defenda os governos nefastos.,2,0.009257018
@user @user attends dans 2 minutes t'es bloquee le semi gay trouve plus de quoi repondre,1,0.00926587
"@user que cara perturbado, ridiculo.",1,0.009414397
as bichinha chorando eu choro junto,1,0.009487458
"feio ,to com sdds — n chama pq n quer https://t.co/lhdn5vfjyb",2,0.00954529
"@user não faz isso com você fofo, o rancor é veneno para alma. eu te amo💙 https://t.co/qy00buvijl",2,0.009580516
porra acho tatuagem nas costas mt foda mas acho q n aguentaria fzr,1,0.009612815
"rt @user n茫o pe莽am pra gente parar, pq n da https://t.co/lwwt0olx2y",2,0.009655504
"@user quando vc menos espera...recebe boas notícias.
super!",2,0.009680227
"@user Arg sinto mto por vc ter passado por essa situação. É mt irritante pqp eu sou impaciente cm esse grossa desse jeito eu ia largar logo ""ENT SE FODA SOZINHA"" KKKKKKKKKKKKK",1,0.009687903
"Eu acho legal de observar, apesar de ser triste, essa leva de sertanejo lançando EP e álbum completo de inéditas a cada 60 dias em show ao vivo. Se vocês prestarem atenção existe um puta trampo de corno por trás que é o da edição tentando disfarçar o fato de ngm saber as letras!",1,0.009738334
@user ridículo,1,0.009760955
"rt @user ""o gerente é petista""
imagina se todo brasileiro usar essa desculpa pra não pagar por serviços. https://t.co/4nsdqam68w",2,0.009796131
@user nomades ta mt pica,2,0.009862843
@user la france est surtout une chance pour ces gens migrants rebeu blackos 2 3 generations et plus. si cela… @url,1,0.009938889
"tava rindo de boa, aí do nada lembrei dos trabalho fudido que tenho pra fazer, triste viu",1,0.009961939
"puta sentimento ruim do caralho, não sei o que fazer, to estagnado desde a ligação, meu querido diario; porra",1,0.010034364
tem um retardado aqui na rua com som ligado,1,0.010065843
@user t’a vu gl dirait un attardé...,1,0.01012471
rt @user não aguento mais não ter foto bonita 😔😔😔,2,0.010142309
@user @user e aí ? hahahaha,2,0.010268047
@user nunca seria um lixo né o defeito dele é correr igual cachorrinho pra sam mas quem sou eu pra julgar né,2,0.010271889
"comecei a assistir vikings,pqp é muito bom",1,0.010299655
@user e a minha vai enlouquecer totalmente akaoakao mas vai ser irado pqp,2,0.010332684
*mongol,1,0.010334945
sigo geral de volta nessa porra sou mo gente boa,2,0.010350675
@user @user rennes ....ville gauchiste depuis 1977 sans interruption,2,0.010398025
"@user e eu que tenho uma capinha que de tanto usar , quando cai o cell ,cai ela e minha presão",2,0.010431463
"@user eu sei mo
mas hyeongjun eh muito feio",1,0.010444349
"essa biscate vadia q saiu do mesmo lugar q eu da minha mãe é um lixo puta merda, nao sei pq essa vagabunda nao morre logo",1,0.010543559
@user coerente com a filosofia do mal !,2,0.010590987
"@user cala boca cara, cê é linda porra",1,0.010666969
@user @user @user une belle gauchiste 100% pur sang nathalie appéré!,2,0.0106989
minha mãe viu esse vídeo e começou a me bater,2,0.010832576
eu sou a grt mais idiota desse mundo,1,0.010861718
fiz pior jogo da minha vida agoraaa e ainda ganhamos incrivel,2,0.01099758
mano acho que n vou sextar n 😊😒,2,0.011005416
"MAS O SALLES MOSTROU QUE O DETER ESTÁ FALHO E O QUE VALE SAO OS DADOS ANUAIS!

Aqui está a analise de concordância entre o Prodes (anual) e o Deter-B (diário) https://t.co/3q1rzXnVh3",2,0.011018451
rt @user isso sim é uma puta meta!! https://t.co/ucru6vjrgw,2,0.011020435
rt @user aquela sensa莽茫o topissima de estar incomodando https://t.co/nuaojkl0xq,2,0.011124673
@user vamo beber carai ja comprei 3 corete e uma caixinha,2,0.011143145
mano que coisa mais linda na moral :(,2,0.011208302
saudades da iasmin de 2017 eu era gótica demais pqp,2,0.011298807
"@user 

• primeira impressão: gata pra caralho
• seu apelido: amandinha
• proximidade: 60%
• uma lembrança: aquele dia lá kkkk rs
• eu gosto de você: bastante 
• pra ser honesto: saudade",2,0.011339404
"rt @user alguém: a 
 
eu https://t.co/1yus4uwkpm",2,0.011497412
toddy só faz eu passar vergonha kkkkkkkkkkkkk,1,0.011646931
"Minha medica me disse que o cirurgião q tirou minha hernia é um dos melhores do Brasil hahahaha e eu descobri que o método que eles fizeram é novo, tem só um ano que ele expandiu e eu era a paciente ideal pra tentarem (18 anos e cm hernia de disco).",2,0.011683822
rt @user @user @user @user rien voir avec l'extreme droitefaut arreter la fumette gauchistetout le monde est tou,1,0.011787864
@user espero que esse beiço inchado seja de uns tapas que esse vagabundo levou.,1,0.01182543
"Gente eu não sei vocês, mais esse evangelho que você só ama o irmão enquanto ele faz parte da igreja e quando sai fingi demência que não conhece!
Esse evangelho eu não conheço.",2,0.011833944
@user mimimimimimimimimimimimimimimimimimimimimimimimimi mimimimimimimimimimimimimimimimimimimimimimimimimi,2,0.011857564
"És bue magro
Nao te dao comida em casa
Se vem o vento desapareces
Se fosses mais gordo
Tens de comer mais
Entra num ginasio
So precisavas de engordar uma becka
Come comida como comes gajas

VAO PO CARALHO FILHOS DA PUTA https://t.co/TfFLRzJydU",1,0.012045997
"a coisa que eu mais sinto sdds no folclore é de dançar com a maísa 
porra xaxado foi tudo pra gente 😔🥺",1,0.012105448
@user résume le terrorisme à l’islam...!! c’est choquant d’entendre ça sur @user !,1,0.012157332
meu deus que parada abusiva puta merda,2,0.01224767
uma arrombada essa menina se eu pego ela esqueço meu senso e dou um soco,1,0.012752961
"""queres vir ali dar uma voltinha no meu camião do lixo?"" - best pickup line ever",2,0.012905911
@user perder? ou deixar de arrancar ? vai falar merda na pqp,1,0.013010187
"Fui bem arrumadinho pro role, fiquei um tempao escolhendo roupa, cheguei na festa coloquei uma gota de alcool na boca e ja voltei pra casa botar um short pra dancaaaar
NAO SEI ESSE FOGO NO CU",1,0.013086231
@user @user só resta o kkkkkkkkkkkkkkkkkkkk,2,0.013091478
"música sempre, o tempo todo! — ♫lance legal por guilherme arantes, do #soundhound https://t.co/o6poliep7g",2,0.013109336
rt @user quand voit le carnage de maduro le gauchiste prefere de melenchon ude4c @url,1,0.01312788
rt @user eu falando q ia focar no 3° bimestre e não fui pra escola ate hj,2,0.013128733
to com mto fogo no cu mas que medo,1,0.013132492
fort interessant que ce soit gauchiste que de faire payer les pollueurs pour la pollution que leurs industries pr @url,1,0.013148265
amanhã é tudo pelo xv do batatao🤪,2,0.013148641
@user gnt da rt nessa caralha caralho #mpn #nowunited #uniters,1,0.013415341
caralho mano eu to muito triste pqp,2,0.013474069
medo de colocar um piercing no septo e ficar feio mas também é só tirar depois,2,0.013563032
tocar a opening de stranger things no teclado é um porre puta merda,2,0.01356884
"ao invés de ajudar faz e fuder mais com tudo, vai se fuder",1,0.013591187
"#TorcidaFURIOSA ""Comecei a torcer pela FURIA em Janeiro mas foi em Abril na DH Rio que eu senti de verdade o que é fazer parte da #TorcidaFURIOSA"" @user https://t.co/YAgmvRLfov",2,0.01364821
"fale uma musica ruim do 21 pilots, e morra fdp",1,0.01369031
vo tomar banho pq to loko ainda meu carai,1,0.013734359
mano minha playlist tá muito boa pqp,2,0.013787693
le nouvel eldorado des rebeus c plus le trading mtn c'est l'aéroport,1,0.013848041
@user perfeito,2,0.013884593
@user putain mais c'est un fake mongol,1,0.013964703
@user que mulher retardada kkkkk,1,0.01396525
estou só minha mãe mandando eu pegar sol na telha  do vizinho kkkkk,2,0.013992236
"rt @user não gosto de gente que fica em cima do muro, gosta de indecisão vai atrás de um (a) libriano (a)",2,0.014005224
"sei q nao deveria, mas eu tô rindo muito kkkkkkkkkkkkkkk pqp",2,0.01407108
rt @user meu deus esse jogo tá do caramba pqp #voleinosportv,1,0.014073165
bravo au réalisateur de #lejouroujaibrulemoncoeur qui inclut le #harcèlement #antisemite dans le film «  #sale #juif ». une réalité.,2,0.014174328
amanhã é dia de vestir meu manto ir pra casa do mozao e ver mais uma vez o corinthians ganhando da porra do time deles,1,0.014210587
rt @user ai sou muito gay por ela https://t.co/jokk7amnj9,1,0.014294654
"10k nessa fancam até amanhã, eu tenho fé
https://t.co/vxksvhh9ek",2,0.014316054
@user te amo cu,1,0.014338636
rt @user doida pra receber meu pg logo pqp,2,0.014343952
"puta merda fancam mais animada e baladeira que já vi de just dance do dia 25

https://t.co/5m7wts5bpo",2,0.014345197
more vc tá putinha pq?,1,0.014395846
@user @user @user n'empeche tu te prends la tete sur un attarde ca fait mal..,1,0.014418265
ya que les renois et les rebeux pr faire des coupes à prix abordables tu vas chez « chris coiffure » tu payes 25bal… @url,2,0.014593445
"@user @user paulo é meu saco, cara de rato do caralho",1,0.014635371
saindo da academia agora com um frio do cacete,1,0.014640002
infelizmente kkkkk,2,0.01467965
@user @user @user machin à lunettes va se faire une fois ramasser par des migrants et il pleurera. fran… @url,2,0.01469714
so queria dizer q scorpia é um nenem e eu vou protege-la https://t.co/1ydwnv1xfh,2,0.014776376
"O Jap茫o aprova cria莽茫o de embri玫es h铆bridos de humanos com ratos e porcos, mais uma vez o brasil sai na frente. Aqui ja temos esse cruzamento , Jair Messias Bolsonaro.",2,0.014899695
@user ma 茅 casa de italiano mama mia rs,2,0.014904026
"@user miga nem de café eu gosto caralho, temos que ir pra sp",2,0.014947388
"eu tento fazer algo, e no final continua sendo minha culpa",2,0.015002633
rt @user sco pa tu manaa é a cabeça da minha rola porra,1,0.015065452
"A Jovem Pan faz o conhecido anti-jornalismo. Não é questão de não saberem da verdade, eles sabem, é puro e simples questão de caráter. O maucaratismo lá abunda. Idiota é quem os ouve.",1,0.015100023
"O prazer e a satisfa莽茫o estampada na rosto feliz de quem sabe mto bem extrair tooodo leitinho de uma mamadeira cheiaaa 馃嵓馃挦馃挦 馃敒馃槇馃敟馃拫馃挅馃憛馃挜馃挄
@user
@user
@user
@user
@user
@user
@user
@user
@user
@user https://t.co/wvsEYw3a9t",1,0.015112013
@user @user @user @user absolument rien compris tu viens de dire que t’étais à l’école espèce d’attardé,1,0.015181213
rt @user lava jato agoniza enquanto verdade de lula fica cada vez mais forte https://t.co/f1d6vuidy7,2,0.015212062
@user @user @user começam marcando o diego e sempre sobra pra mim o b.o vsf,2,0.015265702
caraio parceiro agora que a ficha caiu que eu gastei 120 reais ontem com bebida,1,0.015328162
