tweet,toxic,rand,class2
"Missão de hoje visita a Farmácia Drogasil Rua Dom Pedro II n0 540. Foi muito bom estar com vocês @user agradecemos o acolhimento e atenção. Deus vos abencoe!
(Fotos autorizadas) https://t.co/c8P8j04mNE",0,0.357329663,2
eu juro que se a minha morte vier é por causa desse lixo aqui https://t.co/lqpaysyhvv,1,0.119013576,1
nossa mn eu odeio.,0,0.139221732,2
brocolis é muito boooom pqp,0,0.732742965,2
"@user quer que aumenta carai, tá usando droga.",0,0.597150298,2
eu fico puta com abandona de animal pqp,1,0.245025872,1
@user @user uma jóia de nióbio que n vale quase nada,0,0.306592519,2
"cada dia eu fico mais surpresa e assustada cm a nataly sério, pqp",1,0.071555,1
rt @user quem ja me namorou/ ficou sério cmg sabe que meu melhor rolê era netflix com comida https://t.co/7jfzat7bix,0,0.025230775,2
rt @user eu dizendo pra mim mesma que não posso gastar meu dinheiro com doces https://t.co/7b3zpvksed,0,0.226975841,2
"Eu falando sobre física no grupo da sala tlgd

[2/8 15:23] João Araújo: A três eu não achei nem na internet
[2/8 15:23] João Araújo: Questão tóxica do caralho",0,0.596561292,2
@user @user parece a recep莽茫o da caravana do lula... kkkkkkk,0,0.621686854,2
rt @user @user esse nego ta numa balaca nunca antes vista 🤣🤣🤣,1,0.733781198,1
deus  me da força  de vontade pra escrever  as redação atrasada 😣,0,0.438850218,2
rt @user lembro me de foder o computador ao jogar gta 😂 https://t.co/a8k7ctoe3h,1,0.037885232,1
@user @user é impressão minha ou há uma tensa sexual no ar? https://t.co/oxtcgvvk7m,0,0.773327003,2
"O mais interessante da jornada espiritual é perceber os chamados e o momento certo pra tudo
Tem coisa que eu simplesmente não sinto o chamado e é muito bom ter essa percepção",0,0.496334471,2
q garoto ridículo,1,0.627193085,1
@user caralho sabany cadê teu coração??,0,0.922864951,2
bicho que role louco do carai! eu to destruídaaaaaaaaa,0,0.992758806,2
"@user O Brasil está nas Mãos d Organização Criminosa Corrupta Política e Corporações,como STF,MP,STJ,Eles Fazem o que Bem Entende ao seus Bel Prazer,o Congresso Nacional e um Câncer d Corrupção,Roubalheira,Mau Caratismo,os Meios d comunicação Jornalistas,são uma Praga,Destrói a Notícia",1,0.917247434,1
vai te toma no cu pinguinzada,1,0.827412006,1
cansei de ser idiota,0,0.20815927,2
@user deixa as mina rebolar o cu porra,1,0.45258321,1
"chupo cu chupo bucetaaaaaaaa
https://t.co/z4etgemlcw",1,0.768945923,1
"a semana inteira tava um clima bom, aí chegou final de semana e ta esse cu",1,0.159406439,1
"Seguindo a lógica de alguns aí... Esse mural também deve ser considerado feio de doer... 
Não se enganem... Ignorância não é uma benção.",1,0.375204388,1
"[3/8 12:46] ingrid鉁�: minha m茫o est谩 doendo de tanto segurar nesse 么nibus
[3/8 12:46] iago irm茫: no pau n茫o doe
[3/8 12:46] ingrid鉁�: 馃榿",1,0.311209085,1
"ah, vsfd, prr feia do crl kkkkkkkkk",1,0.950158266,1
👏🏻👏🏻👏🏻👏🏻 até que enfim alguém com bom senso no @user uma fala clara e bem específica. sem mimimi!,0,0.920849674,2
eu n茫o tenho palavras https://t.co/szoolzzvei,0,0.369283271,2
"Não me pintem como uma super boa pessoa, porque não é verdade meus amores... as vezes sou um lixo de pessoa, especialmente quando o mundo me obriga.",0,0.053698824,2
@user me manda ae,0,0.584999457,2
o brasil vai perder eu vou chorar eh serio vsf ah nao,1,0.595726234,1
"se minhas amigas me ouvissem mais, tomariam menos no cu. boa tarde.",1,0.257789758,1
rt @user emmascoott só não funciona pq o ciclope é um lixo com as mulheres https://t.co/zfm4p6svgo,1,0.712139985,1
"tenho até pena quando cair a ficha dessa mina, coitada...",1,0.435874828,1
manooo denunciem esses filho da puta mesmo q sejam gente da família,1,0.770394226,1
rt @user eu amo meu amigo mas puta que pariu hein,0,0.980235712,2
@user @user agora entendi a fala de bolsonaro. https://t.co/ulwjgrfr5h,0,0.741832345,2
"e ele tá odiando a sua cor, fala o tempo todo que é branco pq “preto” é coisa de macaco, e partiu meu coração com ele falando isso e chorando aí que ódio desses racistas",0,0.662232128,2
hoje so saio de casa pra abrir o portão pro puto do ifood,0,0.897585824,2
@user @user tem que mover uma ação e chamar eeeee caras pra se explicar no congresso,0,0.830601306,2
"@user kkkkkkk então né, sociedade tóxica",1,0.903609665,1
"@user lind铆ssima, a est茅tica da artista sofrida por茅m cheia de conte煤do e v谩rias horas de trabalho + muito caf茅",0,0.666082797,2
quando ta tocando minha música favorita na festa e algum rapaz tenta chegar em mim bem nessa hora https://t.co/g2nficbhin,0,0.173901295,2
"@user @user porra vão criar mais comunistas?
ta foda hein?",1,0.816611077,1
"@user @user mano olha essa pretinha, slc",1,0.783417149,1
"@user @user Todo mundo sabe que um time entrar num campeonato quase obrigado a ser campeão, a pressão se torna muito maior e vira o time a ser batido. Focam tudo no Flamengo e times como SP ficam leves leves pra não ter peso de nada e com investimento gigantesco, muito mais fácil se safar.",0,0.873566222,2
felipe馃憦馃憦馃憦馃憦馃憦馃憦,0,0.122187721,2
"@user um babaca, se achou o fodão mais quando a porta abriu o cu sumiu...",1,0.779343452,1
rt @user vontade de fuder do caralho,1,0.384783244,1
pqp que campanha. 😓,1,0.886910312,1
eu sinceramente não sei oq vai acontecer nessa oficina até o final do trimestre kkkkkkkkkkkk,0,0.000774536,2
"@user @user monocrac... não, pera: ditadura!",0,0.575421603,2
"@user ai gabi, toma cuidado por a铆 https://t.co/saqmfphrg7",0,0.78516996,2
maior verdade,1,0.984041575,1
"@user astronaut, engineer, test pilot, coach &amp; corporate trainer
 o cara é couch, não da para esperar nada bom.",1,0.686691289,1
"a tantos estupros ocorrendo com senhoras, crianças, adolescentes, mulheres sendo dopadas e ainda tem homens com a cara de pau de falar que se foi estuprada é pq mereceu ou pq estavam usando roupas “ provocantes “ https://t.co/ureirl71T7",0,0.443459359,2
@user @user vai pra casa do caralho,1,0.485447531,1
"@user povinho sem noção 
imprensao sem noção 
chora qus passa!",1,0.295237773,1
hoje foi dia de comemoração antecipada do dia dos pais... minha flor tava demais com essa gravatinha. https://t.co/vjkxmyfd45,0,0.185456762,2
rt @user se fosse comigo eu metia essa faca na perna https://t.co/kpxyxsplfn,1,0.435957259,1
tou a soar pra caralho q nojo,0,0.588958708,2
#donadopedaco  mudar faz bem fica Tam chato ja saber desses enredos a mesmice . #mariadapaz . Merece ficar rica mais rica ainda e dar uma bela surra na vaca da filha .,1,0.135785232,1
"Papo reto memo, você q para a porra do seu carrinho no meio do corredor do mercado eu espero do fundo do meu coração que vc se foda muito seu pau no cu do caralho",1,0.37862736,1
"@user Então, também tenha hombridade e reconheça que, apesar dos inúmeros erros, principalmente de Dilma, o PT não foi assim tão destruidor do país quanto esta ANTA mostra a toda hora que é. Pedir perdão é um ato nobre e significante...Afinal , vocês SEMPRE  souberam do golpe!!",1,0.056771786,1
rt @user consideração eh aqilo q as pessoas enfiam no cu né????? https://t.co/k3aejgya2k,1,0.002875904,1
carai eu to gato nessa foto https://t.co/3ormrjvhzs,0,0.929679299,2
respeita as minhas meninas porra,1,0.273041789,1
@user @user @user eu entrei no grupo de oração do facebook,0,0.14632312,2
esse veneno de pernilongo t fazendo mal ate p mim e os danado tao aq bem de boa,0,0.925828866,2
algo despertou o homem hétero cis q habita em mim pois eu ando pensando: e se eu trovasse essa guria de 17 anos? tá quase c 18 né...,0,0.072118713,2
"vai se fuder 
kkkkkkkkkkk",1,0.437145339,1
"se está difícil para o aldeque que é bonito ,imagina pra mim que sou feio pra porra",1,0.258106746,1
@user @user esses caras trancados sem acesso a internet por muito tempo vão abrir rapidão,0,0.57228605,2
"O @user incitava cada vez mais as hordas bolsomions ao ataque da minha pessoa.

Hoje ele paga de insentão.
Mas na verdade é  só  um oportunista pilantra que já  foi Petista, Bolsonarista e agora Dorista.

É  um pilantra de marca maior.",1,0.761574767,1
@user exatamente,0,0.161752228,2
"em 93
nós ganhamos o paulistão
foi em cima dos gamba filha da puta
4x0 po verdaooooooooo",1,0.239935931,1
"pqp eu só consigo pensar no derby, amh os vizinhos vão reclamar cmg certeza mas to nei ai fodasi mano é classico 🔪🖤",0,0.950394691,2
"@user @user @user kkkkkkkkkkkkkk porra, nem pirex tinha",1,0.070201253,1
"rt @user vagabundo,ladrão, corrupto🤬👊👊👊
#forarodrigomaia 
#vergonhadospoliticosdobrasil🤬😡😠👊👊👊 https://t.co/or7mifwvzq",1,0.052995692,1
@user palhaço noblat,1,0.05408303,1
@user @user me levem! eu fa莽o drenagem na barbara de gra莽a,0,0.170063925,2
"Vc é o marido dela e ela é sua esposa, sua rainha, com vc ela faz amor, sexo anal com vc somente uma vez no mes, mas com ele ahh ele é o macho dela, ela é a puta dele, o rabo dela vira flor na vara dele. https://t.co/vaKKltDDc6",1,0.069363606,1
eu todo com meu sodexo kkkkk toda semana algu茅m diferente me devolvendo,0,0.741475858,2
"@user @user @user @user @user ele só pediu p ela aproveitar a juventude dela, sem militância caraio https://t.co/k1bPvXuQHd",1,0.623090307,1
parece legenda pra cego surdo e mudo,1,0.555013138,1
jisung e changbin não tem um pingo de maturidade ksks duas crianças,1,0.3876192,1
"gl- era minha melhor amiga no ensino fundamental, queria mt me reaproximar (vc tá um mulherão da porra)",0,0.762587778,2
"As coisas nunca dão certo pra mim, mesmo eu ficando calada e não contando pra ninguém, acho massa minha capacidade de ser um lixo e estragar as coisa🤦🏾‍♀️",0,0.041305853,2
@user porra ! se fosse isso ainda tava tranquilo,1,0.935574273,1
se eu tivesse casado com o pandu certeza q 99% das merdas q fiz n teriam acontecido,0,0.855404556,2
"@user Não existe corpo perfeito, quem definiu que isso é bonito? Você é bonita do seu jeito e isso basta.
Outra coisa é você querer ser assim.",0,0.686093713,2
"falam que eu sou louco por você kkkkkkk até parece
sou mais que isso",0,0.178687181,2
"@user carai cara, cê tá me amando muito",1,0.221066583,1
rt @user coe michael te acordaram mo mancada kkkkkkkkkkkkkkkkkkkkk https://t.co/6mphn60n6y,0,0.32182079,2
"tirei caso da chifruda assumida! https://t.co/pmlriqvpqa 

o berro que eu deiiiiii!!!!!!!! 

socorro viado",1,0.823850212,1
rt @user q porra é essa cara https://t.co/dkatqwqjjo,1,0.313547092,1
@user minha filha vai toma no cu vai,1,0.889556044,1
"A última temporada de Black Mirror tá meio sem graça mesmo, mas o segundo episódio, Smithereens (?), é meu favorito da série toda e o que mais me destruiu emocionalmente. Talvez por ser o mais real -- não é nada ""do futuro"", é algo que já acontece AGORA e a gente acha que taoquei https://t.co/8gEbq6zG8x",0,0.634171076,2
"mudei o pc de lugar deu 15min, voltei para o que era e o pior q deu um puta trampo",0,0.037879413,2
"a uns meses atrás eu quase terminei meu namoro porque alguns “amigos” do gabriel (que se diziam meus amigos também) encheram minha cabeça e a dele, como se eu estivesse impedindo ele de viver e etc 
eu fiquei mal pra caralho, não queria nem voltar p sapiranga ver ele mais",1,0.702137804,1
"pensa que me engana ela.
sinto o cheira da mentira de longe",0,0.523658059,2
mano 5º set pqp,0,0.899685429,2
"rt @user no escurinho do cinema! 🤓
 
duo @user 

https://t.co/2niohoqk0l",0,0.978799892,2
||: Engraçado que aqueles que me chamaram amigo hoje já nem falam comigo. É gratificante saber que todo esforço que fiz pelas amizades foram jogadas no lixo.,0,0.490792435,2
"minha vida escolar tá um cu e a de vocês?
https://t.co/llq6lnrdcz",1,0.564971707,1
foca fez a graça hj😅,1,0.135186743,1
"@user ai a criatura nem tá falando comigo kkkkkkkkk,to triste",0,0.981384654,2
o corno tá puto,1,0.541573233,1
segui de volta vou curti uma foto sua 😉 — jae https://t.co/ajrxvv10mq,0,0.741385272,2
rt @user certeza q meu cabelo vai secar e ficar um lixo,0,0.448611417,2
porra eu e os meus primos temos sempre ganda diferença de idades,1,0.070698651,1
puta merda falta um,1,0.859482717,1
vai se foder santa inês,1,0.03255368,1
"o jimin acabou de te tornar o &gt;único artista coreano a ter 3 músicas com mais de 50M de streams no spotify, com lie e as duas versões de serendipity.
eu digo TALENTO e vcs respondem PARK JIMIN",0,0.628557966,2
"""A Juventus vai ganhar o título. Não sei se esta época ou na próxima, mas vai acontecer""

🎙- Cristiano Ronaldo sobre a Champions League 
 https://t.co/LfUEXx0OIR",0,0.472777266,2
"@user Gorda, diva e varias coleções de rolê na Europa meu amor. E tu que? O máximo que tu consegue é pegar o Uber na promoção. - Diga isso a eles",1,0.057371328,1
ridículo o tal do homem tentando mostrar que tá feliz solteiro no stories,1,0.650193997,1
rt @user minha voz no áudio é ridícula kkkkkkkkkkkkkkkk,0,0.592731063,2
que ressaca e sono que eu to pqp 😪👎🏻,1,0.254717508,1
"“Queria estar passando raiva com o governo Haddad”
PUTZ, NÃO! Queria um governo relativamente dentro das CNTP que me possibilitasse ficar o tempo todo postando gif de gatinho no facebook. Isso sim.",0,0.973877807,2
@user melhor parceira da vida te amo bb carai,0,0.593451751,2
aiai eu to me sinto gordo hj,0,0.275287725,2
Lembrei daquele episódio de Friends que os caras da empresa onde o Chandler trabalha ficam tudo esperando pra levar tapinha na bunda do chefe HAHAHAHHAHAHA ridículo 😂,1,0.043273079,1
"vou chegar já na caipirinha de limão c o viado @user que não sei pq diabos n esta me seguindo, n vai entrar na minha casa",1,0.972941802,1
@user gamer pra caralho,0,0.050929314,2
"@user @user na hora de generalizar bandido n pode...
se não fica feio na hora de comprar maconha",0,0.615672369,2
@user porra é essa,1,0.751544157,1
"@user Ajudamos aqui a.mudar algo? Sim as x. Mas conseguiremos mudar o maldito e PTista STF apenas escrevendo o que pensamos aqui? Não... Se não subirmos o tom, e fisicamente acampamos de frente aquela porcaria e fazer o pau comer, eles destruirão o sonho de mudança que desejamos, BORA",1,0.036681509,1
"É muito fácil o pessoal dizer “fez pq quer” “sou contra o aborto”

Mas na hora de ajudar todo mundo some, e ainda dizem que bolsa família e cotas são mamata do Governo

E quando o tráfico é o único que acolhe, dizem que virou bandido pq quis e q “bandido bom é bandido morto” https://t.co/rSlR6ngPU7",0,0.08037941,2
@user @user o bixo do busao carai kkkkjjjjj,0,0.133209755,2
caraio tio tava todo mundo bebao kkkkkkkkkkkk,0,0.200224247,2
namoral ja vi o video do felca sobre o batman africano umas 15 vezes vsf mt bom,0,0.424134201,2
"caralhooo eu amo minha familia pqp mlk, quando envolve meus estudos eles realmente fazem at茅 o imposs铆vel pra me dar oq eu quero",0,0.647673952,2
@user kkkk só lembrei do celso portiolli... 😆,0,0.182362505,2
um namorado para me vir fazer companhia aqui a casa 馃槴,0,0.206095014,2
rt @user e eu que não precisei ter um boi p ter chifre https://t.co/i6uw2ln6ha,0,0.190492445,2
"tudo certo pra minha festa de 16 anos , s贸 gratid茫o !!!!馃槏",0,0.084526495,2
@user porra q linda,0,0.486669552,2
@user quem vai interpretar o queiroz?,0,0.153986,2
"odete, vc tem sua caixa de areia porra, não faz isso

sempre cagou na desgraça da caixa pra vir com essa agora",1,0.886971095,1
@user @user parece meu tio de 55 anos,0,0.080390619,2
"tudo q vai, um dia volta... aiaiai",0,0.904328794,2
"@user você tava em outro plano,caralho tu é muito pica lannis",1,0.312831028,1
"não tô acreditando q o gado da direita e seus nota subiram uma tag com ""nacional"" escrito com sc
pqp",1,0.671341444,1
"a autora grande basicamente posta um plot igualzinho a uma fanfic do one direction que e ainda tem um plot bem parecido com o meu

olha isso da um desanimo para caralho",0,0.835996965,2
rt @user cada vez mais parecido com o jyp https://t.co/p34hxq6wll,0,0.324762712,2
que bom né amado,0,0.206882722,2
porra eu sou barman,1,0.32039935,1
"@user hahahahahahahahahahaha!!! olha quem fala!!!! vá se enxergar, pilantra!",1,0.538231962,1
eu amo jennie kim p caralho,1,0.846336583,1
e o desgraçado q matou a filha no lins 🤬🤬🤬 incrível q lá o povo vê tudo mas não viram os maus tratos da garota 🙄,1,0.305175842,1
"@user Se eu pudesse, compraria mesmo todas as galinhas do mundo. E com o troco, compraria a ignorante a qual me disse isso. Mas a jogaria no lixo, para uma posterior reciclagem.",1,0.45376813,1
"pau no cu da republica dominicana
aqui é brasil",1,0.321551724,1
"pq só o pior fica , tnc",0,0.298877814,2
rt @user afasto qualquer pessoa de mim não aguento mais me sentir um lixo por isso alguém me mata,0,0.194678111,2
"@user @user ""lixo branco"" foi o ápice, camarada.",1,0.894683848,1
ffffooorrrraaa reinaldo!!!!! seu filho da puta!!!! a tua hora vai chegar!!!!!,1,0.258871692,1
"do jeito q é babaca, merece ficar sozinho mesmo",1,0.631125167,1
rt @user parsa o feminismo q me perdoe mas eu queria só 3m no braço c essa mina zoada do crlh vsf falsa desgraçada,1,0.969456494,1
"Deus me dê paciência pra aguentar a impaciência da Marli pqp pra que inventei de ser sócia dessa louca??? Mas vdc, tem que dar https://t.co/IO7HnSbYbS",1,0.57976939,1
5 dias sem tweetar no momento sou capaz de levitar objetos e explodir israel apenas usando a força do pensamento,1,0.630859362,1
@user @user não acredito que esse blogueiro escroto está defendendo os ministros do supremo..,1,0.527817408,1
"@user af, larga de ser lindo",0,0.308603548,2
meu estômago deu tilti dnv pqp,0,0.917484491,2
lexi rabe não tem defeitos,0,0.665496509,2
minha triste realidade pqp,0,0.536410097,2
@user eu imagino como vc não me xingou mentalmente no dia das heineken 600 no lixo,0,0.021896629,2
"tecnologia abriu infinitos caminhos pro som de estúdio, tem banda q soa MUITO diferente ao vivo. Um exemplo é o highly suspect, puta banda no estúdio e ao vivo tbm, mas é beeem diferente, duas experiências distintas em sonoridade mas iguais em fodacidade",0,0.360704313,2
rt @user não vi feministas e nem a imprensa sair em defesa da advogada https://t.co/kfhnhpazuj,1,0.768309782,1
pqp é ele meu deeeeeuuuuussss,0,0.367735192,2
olha a felicidade do puto querendo piroca na boca 😦😦 que inveja https://t.co/ipqz5nrez0,1,0.504240793,1
krl pra que eu fui inventar de sair de casa tá frio pra porra,1,0.863360547,1
"tudo certo pra dar errado, aí a chuva vem... tnc",1,0.05109614,1
"solzin foge mesmo fim de semana né, tomar no cu",1,0.333802019,1
"rt @user eu e quem 
n precisa ser namorado só queria uma companhia p fzer vídeo assim msm https://t.co/mktycwvsru",0,0.722982091,2
@user esse tt eh a coisa mais ridícula,1,0.576650111,1
"Canadá, Holanda, Estados Unidos, Uruguai etc ...mas no Brasil é imoral, nocivo e prejudicial aos cidadãos .. tnc nojo de tanto otário fazendo lei pra eles mesmos ..",1,0.630302773,1
煤ltimo sabado de f茅rias e a minha namorada vai ficar jogando e eu deitadinha de baixo das cobertas porque ta 11 graus nessa porra de cidade,0,0.41079046,2
"@user que isso mano, graças a deus ta tudo bem. rj ta insano",0,0.185034734,2
"preciso comprar um fone, pqp... esquecer o mundo ouvindo só as melhores do homem kkk",0,0.823846346,2
"@user sim, não quer mais nada?",0,0.752298032,2
"@user mkkkkkmkkkk porra doido, fumou acido é",1,0.210103154,1
"@user esse semana agr tá marcado pra gente beber e comer lá na minha casa, falei com palominha tbm",0,0.072057546,2
"rt @user vai tomar no cu não consigo ver vídeo de jogo que tem jump scare, mesmo sabendo que vai dar susto, eu quase morro",1,0.9373152,1
"deve ser uma merda saber que os homens só querem voce pra comer, porque pra assumir.

voce é imunda garota, por i… — Iiih muitos querem assumir sim, gamam e tudo eu que to legal mesmo kkkk mas eai, e a sua vida, ta cuidando ou ta… https://t.co/Edva1B7jss",1,0.946238207,1
"a realidade é que ninguem vai te amar de verdade, pq voce é uma estupida. fora q beleza n tem nada — poxa https://t.co/wff1grj3rw",1,0.18801617,1
"""tenho fobia social porque não gosto de conversar com os humanos. 😚😚😚😍😍😘😎""

ah, vai tomar no cu.",1,0.499721724,1
rt @user tesão é foda🤦🏽‍♂️ https://t.co/i0gaeyklnu,1,0.666104416,1
"@user Respeitamos sua opinião, mas é importante todos saberem que as contas públicas do nosso país já não estão fechando e algo precisa ser feito. Se quiser, podemos te ajudar a conhecer os principais pontos da Nova Previdência, acesse:  https://t.co/w80srkLJry #BoraPrevidenciar",0,0.60674274,2
"fui inventar de assistir a web série ""o enigma"" da viih tube e eu só fazia rir, puta merda! kkkkk",0,0.310612172,2
"Ah véi, vou comprar um leãozinho e um terreno inteiro pra ter ele, aí compro umas zebra e uns viado pra ele caçar lá dentro",0,0.439649845,2
Como vocês se atrevem a ter parado de encher a tl com caleb e gaten dançando love shot???????????????? Me sinto no dever de trazer a melhor interação que ja aconteceu na humanidade de volta  https://t.co/e2dIVga8sg,0,0.740646853,2
@user respeita o pépé filho da puta primeiro jogo contra vcs ele faz 1 gol e duas assistência,1,0.286399717,1
@user @user são pau lo lo lo lo🇳🇱🇳🇱🇳🇱🇳🇱,0,0.427042108,2
cai logo chuva do inferno,0,0.852324153,2
rt @user pqp perfeitos https://t.co/fdpcplvktk,1,0.660271456,1
@user @user tnc kkkkk,1,0.089031809,1
"o famoso professor, eu pago pau pra esse bicho, sério escutem oq ele tem pra dizer e ajudem",0,0.474341659,2
"@user Boa Tarde Tânia, Você Já Viu Isso Aqui Que O Jumento Falante Que Se Julga""Crack"" Hipócrita Invejoso Lixo Em Formato De Gente José Ferreira Neto Abraços Fica Com Deus🙏#AvantiPalestra🇮🇹@user Junto É Nóis!!!. https://t.co/c3vsw14Ys6",1,0.310314135,1
@user q beleza pedro?tu é feio porra,1,0.952133705,1
"rt @user eh preciso ter engolido muita ecodemagogia, ter muita cara de pau ou um misto dos dois pra comer carne mas encher o saco d…",1,0.756445134,1
@user eu não perdi o cu ok,1,0.228986489,1
primeiro treino feito,0,0.915910286,2
se deus quiser vai da tudo certo 🙏,0,0.153966821,2
"@user kkkkkkkkk
pode ser o sr wladimir de araraquara (que fica perto de moscou). vou aguardar.",0,0.61550362,2
caralho quando foi que sai do flop,0,0.099183841,2
enfim em casa chorando sonhos se realizam,0,0.842061017,2
vsf trocar o piercing dói mais doq colocar,0,0.715372035,2
esse zé parece um burro empacado,1,0.118821367,1
deitado esperando o philipe augusto vir me buscar pra me levar pra paraisopeba https://t.co/pqr6g7dag0,0,0.324532597,2
"eu sou o total oposto da música ""stupid with love"" de 'mean girls' pqp

smart with luv
stupid with math",1,0.961681978,1
não é fcr parado de cara feia em evento👍🏾,0,0.900213082,2
"a maioria dos cara se nega a usar camisinha, mas quando o assunto é aborto geral apoia como se fosse 100%...",0,0.698810287,2
rt @user eu dirigindo // eu na hora de entrar ou sair da garagem https://t.co/yxfkoity0f,0,0.481819999,2
rt @user aquilo que eu falo pra vitorya https://t.co/h1qshktmcl,0,0.04050185,2
"@user @user maltaaaa 🤔🤔🤔 eu acho que vou mandar cc pq só quero mm saber, não quero nada com ela",0,0.367884402,2
nem eu faço.,0,0.992294208,2
pega o rychand e lava ele no shopping eu e ele só  pai e filho 😍👶👦,0,0.060603254,2
@user @user grandíssimos filhos da puta!!!!!!!!!,1,0.730393086,1
vivem nababescamente as nossas custas e protegem ladrões e bandidos #stfvergonhanacional,1,0.759544101,1
"odeio assistir coisa legendada e ninguém consegue entender ou respeitar isso. me deixa, porra. não quer ver cmg, não vê mas tb não me obriga a ver uma porra em inglês que eu odeio.",1,0.521545091,1
fala pra mim yes or yes caralho,1,0.061878991,1
"com o resultado do outro jogo o @user assume a liderança isolada do grupo 11, com 6 pontos. 
https://t.co/ng2yb37s17",0,0.757527606,2
"eu espero mt que a enfermeira que me fez as injeções não tenha postado “enfermagem por amor” pq com aquela cara de cu dela, com certeza por amor não é",1,0.835801765,1
"@user foi oq eu disse só que mais simplificado, pra que namorar se for pra trair ?",0,0.434382752,2
brasil 茅 foda porra,1,0.351941044,1
"um dia l谩 estava eu deitada no sof谩 numa boa, ia colocar o p茅 na chinela pra ir na cozinha mas antes tive a brilhante ideia de olhar pra baixo
primeiro eu vi a kate sentada me olhando fixamente, e na minha chinela? um rat茫o 馃槏
ficamos as duas se olhando em sil锚ncio at茅 ela miar",0,0.905342192,2
@user n quero ver na minha frente isso hj kkkkkkkkk,0,0.118651384,2
nunca vi tanta gente feia igual aquele grau técnico nu,0,0.266482147,2
"@user pra vcs verem, a direita só representa o atraso. não sei como foi q o pt deixou o brasil cair nas patas dessa gentinha.",1,0.557830717,1
"tô desde madrugada sem internet e o pessoal aqui já volta que tem oi tb

q odio",0,0.300926592,2
@user que inferno amo voces caralho,0,0.138321167,2
rt @user chorando vendo filme de sapatao sonhando com um dia que eu vou ter um romance clichê,1,0.924118606,1
"@user lixo nada, tu é incrível também!!",0,0.163038216,2
